rowid,TIC ID,TESS Disposition,TFOPWG Disposition,Planet SNR,Sectors,Comments
443,366622912,PC,,26.915271999999998,7,GAIA radius = 0.7 Rsun and Teff = 5000 K
444,318937509,PC,FP,20.462208,7,v-shaped
445,308307606,PC,FP,11.168397,7,9.9 day eccentric system with separations between events of ~4.72; 5.16; 4.72; 5.16 days
446,264979636,PC,,7.3633690000000005,7,low MES; possible centroid offset; GAIA Rstar=1.06Rsun
447,218795833,PC,,46.428268,7,possible hot Jupiter around an M dwarf
448,148479278,PC,,7.304355999999999,7,possible NEB
449,27649847,PC,,8.542186000000001,7,Small star; marginal transit
450,19451711,PC,,8.220099000000001,7,V-shaped and short period; GAIA Rp=1.6 Rsun
451,93125144,PC,,15.278281,6,Transits could be the result of detrending residuals from stellar variability
452,365690646,PC,,7.579505999999999,6,Potentially instrument noise
453,71512186,PC,,10.557674,6,possibly marginal
454,200593988,PC,,16.209078,6,possibly marginal
455,148228019,PC,,85.64537,6,GAIA Rstar=2.2Rsun; planet is likely larger than 16Re
456,403693875,PC,FP,17.919674,6,
457,438490744,PC,FP,19.085302,6,
458,387690507,PC,,16.44689,6,Possible centroid
459,302895996,PC,FP,9.056892999999999,6,
460,144700903,PC,,20.497864,6,
461,309791156,PC,,14.861218,"1,5,6",
462,281909674,KP,KP,8.343057,6,CoRoT-13b
463,280210963,KP,KP,11.145660000000001,6,CoRoT-12b
464,234825296,KP,KP,7.756978999999999,6,CoRoT-20b; two planets in system
465,234112540,KP,KP,14.612229999999998,6,CoRoT-5b
466,237751146,PC,,13.053421,6,
467,238004786,PC,,7.751638000000001,6,marginal signal. GAIA Rstar=0.81Rsun; short period
468,200322593,PC,,13.703281,"4,5,6",
469,143271144,PC,,8.324243,6,marginal signal
470,49771092,PC,,7.629786,6,marginal signal
471,53593457,PC,FP,9.624941,6,possible secondary
472,50618703,PC,,12.803771000000001,6,
473,37168957,KP,KP,18.792747,6,CoRoT-18 b
474,36440357,KP,KP,17.856768,6,CoRoT-4 b
475,36352297,KP,KP,28.433636,6,CoRoT-1 b
476,42821097,KP,KP,12.424889,6,CoRoT-19 b
477,32830028,PC,FP,18.210542999999998,6,marginal signal
478,311183180,PC,FP,181.30376,5,TFOP EB primary
479,311183180,PC,FP,85.7181,5,Gaia DR2 R = 1 R_Sun; likely grazing eccentric binary with nearly equal brightness stars; TFOP EB secondary
480,192826603,KP,KP,24.569945999999998,"5,6",
481,44737596,PC,,31.310287,"4,5",
482,161477033,PC,FA,8.819479,5,Period could be half because of a data gap; based on multi-sector data there are likely transits from two separate planets combined to make this 14-day false target
483,161477033,PC,,8.546552,"4,5",event is different from the original 14.50 day signal in TOI 553.01
484,161477033,PC,,10.945463,"4,5",event is different from the original 14.50 day signal in TOI 553.01 although the second transit is the same as the second transit of TOI 553.01.
485,407966340,PC,,11.300715,5,Gaia DR2 R = 1.4 R_Sun; period might be twice (14.1 day).
486,170849515,PC,,16.086195,5,possible hot Jupiter.
487,59003115,PC,FP,7.231075,5,Need SG1 to check nearby stars and especially TIC 59003118 (T=17.34 mag).
488,55488511,PC,,8.038872,5,Low SNR; no GAIA radius
489,207110080,PC,,31.0,"2,3",v-shaped
490,209459275,PC,,105.0,4,possible tropical Jupiter; third of four transits visible in raw data
491,101011575,PC,,25.938644,8,
492,377064495,PC,,9.518034,8,period may be an integer multiple
493,377064495,PC,,9.071973,8,USP
494,377064495,PC,,9.147246,8,clean transit affected by heavy gapping from candidate .02 at 0.4 days
495,413248763,PC,CP,16.503141,8,
496,405454160,PC,,11.811567,8,single transit
497,1003831,PC,,21.112694,8,some odd-even
498,1103432,PC,FP,31.432276,8,possible synchronization
499,1133072,PC,FP,9.50554,8,
500,13349647,KP,KP,96.0224,8,WASP-36
501,37575651,PC,,12.51106,8,GAIA Teff=9422K; likely large stellar radius; possibly double the period
502,123482865,PC,PC,23.076079999999997,8,crowded field; possible warm Jupiter
503,126733133,PC,,12.123184,8,very crowded field; centroid pulling to fainter objects but significance is low
504,270468559,KP,KP,29.595682,8,HAT-P-42
505,289535142,PC,FP,53.293125,8,possible odd-even; GAIA Rstar=1.086 Rsun
506,296780789,PC,,160.19262700000002,8,either a giant planet around an M dwarf or an M dwarf binary system
507,315002523,KP,KP,15.186729000000001,8,HATS-26
508,386435344,PC,,22.335493,8,v-shaped; impact parameter close to 1; possible single transit on first transit; offset flag at 4-sigma level; possible blend
509,408310006,KP,CP,54.06930500000001,8,WASP-166
510,410094645,PC,FP,80.501144,8,large possible hot Jupiter; GAIA Rstar=1.54 so the planet may be potentially smaller than 29 REarth
511,423275733,KP,KP,24.794462,8,WASP-142
512,238061845,PC,,13.0,"6,7,8",TIC star 5
513,81419525,PC,,43.0,"8,9",3 GAIA stars within 5
514,180987952,PC,,21.0,"8,9",
515,287474726,PC,,10.0,8,
516,131743355,PC,,46.0,"7,8",
517,74482749,PC,,32.0,"8,9",
518,190990336,PC,FP,212.0,8,there might be a secondary
519,131979339,PC,,39.0,"7,8",Period is likely double; V shaped
520,294090620,PC,FP,98.0,8,Period needs refinement; possible secondary
521,130415266,PC,,28.0,"6,8",Period is double or four times larger; T0=1481
522,412961700,PC,,20.0,8,possible odd-even
523,270841724,PC,FP,128.0,8,possible EB but could be PC at half or quarter the period; likely offset and could be on 270841758 which is brighter in the optical; host is likely a giant
524,146261607,PC,FP,21.0,"7,8",Matched signal is EB at twice the period; crowded field; transit depth increases with aperture; there is a second signal at 1-day period
525,196286587,PC,FP,17.0,"7,8",twice the period; likely a giant planet; Need to check 196286578
526,128463355,PC,FP,33.0,"7,8",The Rp is diluted; actual Rp is about 21 Re. V-shaped. Period is double (13.1 days). Need SG1 to check 128463706 and get the appropriate depth.
527,146406806,PC,,29.0,"7,8",V shaped; period is likely double (14 days); two stars in the same pixel
528,287329267,PC,,15.0,"1,2,3,4,5,6,7,8,9,10,11,12,13",may also be on TIC 287329263
529,144956678,PC,,19.0,"7,8",
530,146208651,PC,FP,11.0,8,two stars on the same pixel
531,81429971,PC,,32.0,"7,8",possible offset to North
532,145982812,PC,FP,34.0,8,
533,134396419,PC,,22.0,"7,8",R=9 Re using the TIC Rstar
534,141363913,PC,,26.0,"8,9",possible phased variability
535,175176327,PC,FP,39.0,"7,8",
536,262746281,PC,,31.0,8,Period might be double
537,145027461,PC,FP,20.0,"7,8",TFOP NEB; possible offset to north
538,181304295,PC,,26.0,8,likely large planet radius
539,122262940,PC,FP,55.0,8,large planet; faint star to west
540,153651591,PC,,17.0,"7,8",need an Rs estimate; there also seems to be a deeper ~14d signal visible in the raw light curve
541,186547153,PC,FP,52.0,8,Given Teff = 8323 K; Rstar = 2.14 Rsun the planet radius might be 10 or 11 Re
542,134404603,PC,FP,180.0,"7,8",V-shaped; some odd-even and eccentricity
543,80275202,PC,FP,21.0,8,need to check 80275180
544,154459165,PC,,19.0,"7,8",PC if on 154459165; could be on 154459164; faint GAIA star nearby
545,284738182,PC,,22.0,"7,8",large planet; possibly grazing; need SG1 to check 284738170
546,77527511,PC,,32.0,8,
547,118021229,PC,FP,22.0,8,
548,190496853,PC,,89.0,"8,9",likely large planet radius
549,145879095,PC,,58.0,"8,9",transiting object might be too big
550,141227133,PC,FP,63.0,8,TFOP NEB; centroid offset
551,173640199,PC,,40.0,"7,8",likely large planet
552,267527924,PC,FP,32.0,"7,8",
553,296739893,PC,,20.019318,8,second transit may not be real; if so the period is double
554,30828562,PC,FP,187.647888,8,possible hot Jupiter
555,83092282,PC,,82.862122,8,possible hot Saturn
556,101395259,PC,FP,39.421757,8,could be at half the period
557,399870368,PC,CP,142.0,5,Rstar = 2.11 Rsun in TIC. Rp = 23 Re. Likely hot Jupiter.
558,379929661,PC,CP,233.0,7,likely hot Jupiter
559,65412605,PC,CP,166.0,7,
560,365781372,PC,FP,87.0,6,check nearby bright stars; might be synchronized
561,281408474,PC,,170.0,6,hot Jupiter; may be on 281408443 (R=1.06 Rsun)
562,293853437,PC,,76.0,6,
563,123898871,PC,FP,43.0,6,Fifth transit event is on the edge with bad detrending; has 3
564,97158538,PC,,14.0,7,might be synchronized
565,349790953,PC,FP,14.748875,8,EB if on 349790954 (48 Re; same period); close enough that there needs to be SG1
566,348755723,PC,FP,9.939798,8,"Follow-up (Will Waalkes, Zach Berta-Thompson) ruled out a transit on TOI 633 but confirmed a 9.6 ppt event on 348755728; GAIA stellar parameters: Teff = 3414 K; R = 0.567 R_solar"
567,344926234,PC,FA,7.434769999999999,8,Diff Image Quality flagged as unreliable
568,286132427,PC,FA,8.047397,8,could be on TIC 286132422
569,146463781,PC,FP,9.291737,8,crowded field; likely EB off target to SSE; but check if nearby PC.
570,133334108,PC,,7.6997919999999995,8,centroid is offset; v-shaped
571,78154865,PC,FA,8.201568,8,PC; TIC 78154863 in same pixel
572,82362447,PC,FP,12.677918,8,Crowded field; likely EB off target to SSE; but check if nearby PC (not a cut and paste error; same comment as line 104).
573,147977348,PC,,171.0,"6,7",slightly large
574,49079670,PC,,21.0,"6,7",
575,79292541,PC,,61.0,"6,7",crowded field; could be on 79292540
576,432008938,PC,FP,13.058762,8,period might be double; crowded field
577,63303499,PC,,16.0,"6,7",possible NEB to E; TIC 63303496
578,157568289,PC,FP,113.0,"6,7",Either diluted or blended PC: matches 17000 ppm deep eclipse on 157568287 of dT=1.8 mag; need SG1 to check on which target
579,238197709,PC,,134.0,"2,3,5,6,9,10,12,13",
580,92992033,PC,,13.0,6,v-shaped; evolved star
581,78672342,PC,FP,14.0,6,possible odd-even; GAIA DR2 Teff = 4060 K and Rad = 10.8 Rsun
582,35582553,PC,,30.0,"6,7",GAIA DR2 Rad =  2.44 Rsun and teff = 6555 K
583,349373192,PC,FP,32.0,"4,5,6",likely NEB on TIC 349411363 130
584,72090501,PC,,19.0,6,maybe odd-even; two stars on the same TESS pixel
585,22221375,PC,,16.159866,9,small PC in known system (HD 86226 b has P = 1695 days)
586,33153766,PC,FP,14.02045,9,Need SG1 to check neighbor TIC 33153755 at ~14.32
587,35009898,PC,,12.836975,9,low SNR in qlp; unknown GAIA DR2 radius
588,35516889,KP,KP,167.722733,9,WASP-19 b
589,36734222,KP,KP,309.28362999999996,9,WASP-43b
590,48103627,PC,CP,31.021040000000003,9,large planet
591,48476907,PC,,12.043224,9,two stars of similar brightness in the same pixel - 48476908 (T mag= 9.486)
592,48476908,PC,,12.275165,9,two stars of similar brightness in the same pixel; we released 48476907.
593,53189332,KP,KP,32.974059999999994,9,WASP-106 b
594,53735810,KP,KP,39.438835,9,WASP-66b
595,54085154,PC,FP,13.519842,9,
596,54962195,PC,,9.389264,9,
597,54962195,PC,,7.826296000000001,9,not a 2x period; so it could be a second planet; low SNR
598,55092869,KP,KP,74.665642,9,KELT 11b
599,73723286,PC,FP,109.289482,9,period in qlp = 14.05864 was slightly off
600,82128636,PC,,12.282331,9,
601,101955023,KP,KP,16.902313,9,GJ 1132b
602,102195674,PC,FP,68.383492,9,
603,124573851,PC,,9.629088000000001,9,
604,147660201,PC,FP,11.090368,9,Need Sg1 to check 147660207 (half a pixel away) of T mag =  12.666
605,151681127,PC,FP,135.34671,9,Likely large planet based on temperature; need SG1 to check 151681126 (T mag = 15.914)
606,151825527,PC,,31.974103999999997,9,no GAIA DR2 radius
607,151959065,PC,FP,43.950787,9,GAIA DR2 R = 1.7 Rsolar; transiting object might be slightly bigger
608,158588995,PC,,53.596183999999994,9,No GAIA DR2 Radius
609,169226822,KP,KP,160.821152,9,WASP-127 b
610,219187649,PC,,14.748460000000001,9,
611,280206394,PC,CP,133.408096,"9,10",
612,294395926,PC,,8.381478,9,Low priority lv 1; centroid offset on 294395913; T mag = 10.143 (an evolved star GAIA DR2 R = 10.77 Rsolar)
613,308050066,PC,FP,65.07193000000001,9,
614,335499997,PC,,23.040173,9,
615,410450228,PC,,42.580555,9,V-shaped; possible odd/even
616,429304876,PC,,21.252947,9,slightly smaller radius in qlp (R = 3.91 Rsolar)
617,437248515,KP,KP,103.024239,9,WASP- 31 b
618,462162948,PC,,9.936622999999999,9,could be double the period
619,281731203,KP,KP,36.0,9,K2-261; only a single event seen in TESS data
620,339857675,PC,,10.0,"6,7,8,9",low MES transit signal
621,74534430,PC,,11.0,"8,9",period could be double (36.3 days); check bright star on the south west of this star
622,339636032,PC,,10.0,"3,6,7,8,9,13",low MES; possible depth change with aperture; check stars to the SW
623,445822015,PC,FP,18.0,9,
624,101497191,PC,FP,29.0,9,need SG1 to check 101497184; assuming R ~ 1.0 R_solar (TIC) transiting object is about 5 Rearth
625,156991337,PC,,13.0,"6,7",
626,320417762,PC,,11.0,7,low S/N transit
627,458589703,PC,FA,28.0,7,Column effect introduced during calibration; not a real transit
628,55383975,PC,FP,85.158592,"1,4,5,6",likely gas giant
629,55559618,PC,FA,9.781613,"1,2,3,4,5,6",GAIA Rstar = 0.855 R_solar
630,77156829,PC,,9.965629,"4,5",
631,77156829,PC,,7.615660000000001,"4,5",
632,77253676,PC,,9.783714999999999,"4,5",possible super-Earth
633,141527579,PC,,10.528213000000001,"1,2,3,4,5",
634,149302744,PC,,8.646706,"1,2,3,4,5,6",some activity in difference image sector to sector on 149302756
635,149302744,PC,,7.619083,"1,2,3,4,5,6",some activity in difference image sector to sector on 149302756
636,150428135,PC,,15.301817000000002,"1,3,4,5,6",GAIA plx = 32.098 indicating an M dwarf
637,150428135,PC,,7.387230000000001,"1,3,4,5,6",roughly 2:1 period ratio but not close enough; GAIA parallax indicates M dwarf host; low SNR
638,150428135,PC,,8.204835000000001,"1,3,4,5,6,7,8,9",very shallow; low SNR
639,219239945,PC,FP,12.751472999999999,"3,4,5",transits in close proximity to some but not all momentum dumps
640,237914496,PC,,9.196624,"1,2,3,4",
641,237928815,PC,,9.732352,"2,4",
642,237928815,PC,,7.428361,"2,4",only two transits
643,260004324,PC,,10.778132000000001,"1,2,3,4,5",
644,391904697,PC,,8.048983,"1,2,3,4,5,6",marginal
645,219345200,PC,,44.79472,"4,5,6",single transit
646,167342439,PC,,8.542225,"1,2,3,4,5,6",only two transits
647,391821647,PC,FP,9.086427,"1,2,3,4,5,6",large scatter in centroid from sector to sector; very crowded field; possible secondary
648,396720998,PC,,45.851597,"3,4,5",Gaia DR2 Teff = 8583 K so planet might be too big; host is apparently a hot subdwarf.
649,309402106,PC,FP,33.773872,"1,5,8,9,10,11",v-shaped; period is 216.245 d or an integer of that e.g. P/2 P/3 P/4; two events; TFOP EB
650,38510224,PC,,8.192730000000001,"1,2,3,4,5,7,8",low SNR; period was listed as 9.2 d in previous dv reports; but 18.4 d seems more accurate.
651,150151262,PC,,12.299000000000001,"3,4,6,7,9",
652,150151262,PC,,10.352905,"3,4,6,7,9",two events; but note that the second transit is near a moment dump
653,150151262,PC,,8.504271000000001,"3,4,6,7,9",first transit is momentum dump; second is likely instrument noise but could be a single transit
654,167600516,PC,,10.927932,"1,2,3,4,5,6,7,8",single transit (i.e. the first transit)
655,167600516,PC,,7.710814999999999,"1,2,3,4,5,6,7,8",low SNR; possible offset
656,219195044,PC,,10.554605,"4,5,6,7,8",possibly main sequence star making the planet a bit smaller.
657,219195044,PC,,7.754747999999999,"4,5,6,7,8",possibly main sequence star making the planet a bit smaller; low SNR
658,271971130,PC,,9.530437,"1,2,3,4,5,6,7,8,9",likely M-dwarf; smaller stellar radius and smaller planet radius.
659,119081096,PC,FP,17.0,8,potentially planet on a neighboring star; centroid shift in y; long transit duration; depth increase with larger aperture
660,275248683,PC,FP,16.0,8,SG1 to check faint neighbor in the south; likely BEB judging from difference images
661,150247134,PC,,9.0,"1,2,3,4,5,6,8,9,10,11,12,13",SG1 to check which host; neighbor in the same pixel 150247131
662,184952758,PC,FP,9.0,8,Potential Hot Jupiter on the target; or BEB on 184952876; potentially the period is 2.055d with deep primary eclipse and potential secondary eclipse
663,131419878,PC,FP,9.0,8,neighboring star could be source of signal; needs SG1 to confirm host; TFOP FP
664,38571020,PC,,8.061371000000001,"1,2,3,4,5,6",needs SG1 to confirm transits are on target or on near neighbor
665,38509907,PC,,8.741217,"1,2,3,4,5",needs SG1 to check neighbors in aperture
666,177077336,PC,,8.927436,"2,3,4,5,6",needs SG1 to check if on target or neighbors
667,339961200,PC,,11.0,"3,4,6,7,8,9,10,13",potentially V-shaped in short-cadence data
668,410245915,PC,FP,30.0,8,PC; V-shape in short cadence SPOC data
669,174143743,PC,FP,10.0,"7,8",Could be EB; V-shape in SPOC data
670,149788158,PC,,9.0,8,SG1 to check if signal is real and if it is on the target or neighbor 149788157; period might be double
671,96097215,PC,,9.0,8,low SNR; need SG1 to confirm transit is real and not noise;
672,144138509,PC,,7.433700999999999,9,single transit on third event; reported transit depth is shallower than true transit depth
673,11561667,PC,,17.464441,9,GAIA DR2 Rstar = 0.6 Rsun which makes Rp ~1.5 RJup
674,34068865,PC,,12.487692,9,GAIA R*=2.5 Rsun. 25 DR2 sources within 30
675,36724087,PC,,11.443317,9,
676,36724087,PC,,11.924323,9,
677,106402532,PC,,10.06841,9,possible centroid shift
678,146846569,PC,,34.489494,"9,10",V-shaped; large candidate around late-type star
679,150271680,PC,FP,11.244808,9,
680,181804752,PC,,17.659561,9,
681,181804752,PC,,7.734158,9,low SNR
682,219189765,PC,,23.359258999999998,9,
683,260304800,PC,,19.319810999999998,9,
684,279425357,PC,,14.377297,9,Stellar and companion radii are 50% larger in GAIA DR2 (R = 1.724 R_solar); period (9 days) is correct and confirmed in multiple sectors. Planet radius is likely closer to 14 Re.
685,310009611,PC,,12.174379,"9,10",Crowded; OOT variation appears to be rotational modulation and not phased to transit ephemeris.
686,359271092,PC,,8.314336,"9,10",Crowded field.
687,373424049,PC,FP,13.63825,"9,10",A type star; could be on 373424060
688,434486077,PC,,13.318214000000001,9,
689,437242640,KP,KP,151.34626799999998,9,WASP-34 b
690,444842193,PC,,7.504138,9,low SNR
691,167418903,PC,,37.0,"1,2,3,4,5,6,7,8,9,11,12,13",matches with 167418898 but this is likely the source
692,15445551,KP,KP,41.055015999999995,10,WASP-87 b
693,104024556,KP,KP,85.67794,10,WASP-167 b
694,5868998,PC,FP,74.558151,10,Likely EB
695,14614418,KP,KP,26.83444,10,HATS-18 b
696,14661418,KP,KP,63.760841000000006,10,HATS-22 b
697,61538902,KP,KP,77.813034,10,WASP-129 b
698,61988212,PC,FP,16.535254000000002,10,Likely EB; Gaia Rstar = 0.66Rsun
699,72985822,PC,,20.404739000000003,10,possible odd-even difference
700,73228647,PC,,7.605685,10,low SNR
701,73649615,PC,,7.940721000000001,10,
702,130924120,PC,,16.095709,10,
703,131081852,PC,FP,178.86625700000002,10,Possible EB; could be a secondary in the data gap
704,152147232,PC,FP,31.311703,10,
705,162362398,PC,FP,94.265549,10,Likely EB; large radius.
706,165317334,PC,,9.386586999999999,10,
707,178709444,PC,,26.442852000000002,10,Likely EB
708,178819686,PC,CP,9.511419,10,
709,178819686,PC,CP,9.265983,10,
710,181159386,PC,FP,75.774712,10,Possible EB
711,219401954,PC,,8.275544,10,Low SNR; possible secondary
712,219698950,KP,KP,101.419273,10,HATS-1 b
713,229047362,KP,KP,155.860825,10,WASP-25 b
714,229811538,PC,FP,68.546265,10,Likely EB
715,248075138,KP,KP,79.894234,10,WASP-42 b
716,248111245,KP,KP,19.722195000000003,10,HATS-27 b
717,277634430,PC,,9.183867999999999,10,Likely EB Centroid offset Check the other star 277634428
718,286864983,PC,,14.618592999999999,10,
719,286865921,KP,KP,61.76556,10,WASP-83 b
720,294301883,KP,KP,116.09391799999999,10,WASP-55 b
721,304042899,PC,,33.201946,10,Probably EB because of odd-even difference.
722,306996324,PC,,11.388232,10,Likely EB; but the secondary could be the second event in .02.
723,306996324,PC,,9.580680000000001,10,Third transit is probably not real. The second transit could be the secondary of .01.
724,334305570,PC,,29.06867,10,
725,335630746,PC,,146.100067,10,SIMBAD notes star has high proper motion
726,374095457,PC,,36.172352000000004,"9,10",Has variability of unrelated period.
727,398943781,KP,KP,152.00813300000002,10,WASP-41 b
728,413376180,KP,KP,46.5933,10,HATS-2 b
729,429358906,PC,,8.467292,10,Low SNR
730,451645081,PC,,8.855522,10,low SNR
731,460984940,PC,,14.765322,"10,11",Crowded field.
732,374829238,PC,,7.353172,"2,3,6,7,9",period might be double
733,375059587,PC,,9.260860000000001,"1,2,3,4,5,6,7,9",
734,350584963,PC,,8.224734,"1,2,3,4,5,6,7,8",low SNR; need SG1 to check 5
735,349829627,PC,,8.001731,"1,3,4,5,6,7,8,9,10,11,13",low S/N; crowded
736,300710077,PC,,8.333778,"1,2,3,5,6,7,8,9",low MES; Busy field but no stars within 19
737,308994098,PC,,10.902159,"1,4,8,9,10,11",Period might be Px2 P/2 P/3; 2nd transit event close to MD
738,306472057,PC,,30.607403,"4,5,6,8,9",could be P/2
739,294780517,PC,FP,7.434784,"4,5,6,7,8,9",low MES; crowded
740,300013921,PC,,15.773242000000002,"1,2,3,4,5,6,7,8,9",
741,299945285,PC,,10.363559,"2,3,4,5,6,7,8,9",
742,278895705,PC,,7.607033,"1,2,3,4,5,6,8,9",low MES
743,277099925,PC,,14.290135000000001,"1,3,4,6,7,8,9",Gaia DR2 Teff ~ 9000 K
744,271596225,PC,,10.565896,"1,2,3,4,5,6,7,8,9",
745,271596225,PC,,7.944489,"1,2,3,4,5,6,7,8,9",
746,260640693,PC,,11.651428999999998,"1,4,5,6,7,8,9",
747,255685030,PC,,8.782867999999999,"5,6,7,8",low MES
748,179308757,PC,,10.889663,"2,3,4,5,6,7,8,9",very crowded field; possible odd-even
749,177258735,PC,,10.466955,"1,2,3,4,6,7,8,9,10,11,12,13",low S/N; possible odd even in the modshift tests and a crowded field point to a possible NEB.
750,167303382,PC,,9.354317,"1,2,3,5,6,7,8,9,10,11,12,13",low S/N transit; Gaia DR2 shows two stars with the TESS PSF (the 4
751,143526444,PC,FP,10.332837,"7,8",
752,41227743,PC,,8.668339999999999,"1,2,4,5,6,7,8",low MES; crowded field; check bright star at these coordinates: RA 91.4813184782682 DEC -69.4618643201317; Difference images inconclusive.
753,38460940,PC,,8.997781,"1,3,4,5,7,8",low MES; small star based on parallax
754,33831980,PC,,7.648435000000001,"1,2,3,5,6,8,9",probably double the period; low MES
755,30853470,PC,,7.862228,"1,2,3,4,5,6,7,8",low MES; GAIA DR2 R = 0.576 R_solar
756,30122649,PC,,9.388668,"8,9",First 3 transit events close to MD; 4th transit event in a gap
757,149301575,PC,,7.475878999999999,"1,2,3,4,5,6,7,8,9",low S/N
758,388106759,PC,,7.4193940000000005,"1,2,3,4,5,6,7,8,9",very low MES/SNR
759,100757807,PC,,96.0,"5,6",2x period (25 days); could be on companion 100757804
760,363914762,PC,,104.0,"5,6,7",could be on 363914760
761,55525572,PC,CP,15.288789000000001,"4,5,6,8,9",possible single event close to BJD  2457000 = 1540
762,255760319,PC,FP,14.0,"6,8",likely BEB; eclipse on a lower left neighbor
763,102840239,PC,,19.0,9,needs follow to clear a dmag =2 neighbor
764,175180796,PC,FP,29.0,"7,8",likely BEB on 175180784 (evolved star according to Gaia)
765,30312676,PC,,7.498463,11,low MES (7.5)
766,46096489,KP,KP,103.528023,11,WASP-16b
767,73717937,PC,KP,21.82836,11,HATS-17b
768,111991770,KP,KP,107.743202,11,WASP-15b
769,125405602,PC,FA,7.192833,11,low SNR (7.3)
770,127530399,KP,KP,71.14669,11,WASP-132b; half the reported period at 7.133521days
771,158978373,PC,,20.876177,11,
772,193641523,PC,,16.469473,11,Radius of the planet might be a bit smaller than 4 Re given the GAIA DR2 R = 0.7 R_solar
773,220029715,KP,KP,13.291478,11,HATS-7b
774,243200602,KP,KP,77.74211899999999,11,WASP-130b
775,270507305,PC,,32.573071,11,
776,271168962,KP,KP,114.223114,11,WASP-131b
777,276128561,PC,,12.428467999999999,11,Based on Gaia Rstar=0.964 Rsun the Rp=4.3+/-0.2 Re
778,281924357,PC,,46.963699,11,likely EB
779,307610438,PC,FP,51.642399,11,likely EB; two stars within the same pixel
780,350332997,PC,,10.913236,11,Gaia DR2 Rstar=2.171 R_solar gives Rp=11.8 Rearth
781,362249359,PC,,8.14675,11,low SNR
782,404340025,KP,KP,164.74766499999998,11,WASP-108b; only appears in a submitted (never accepted) 2014 paper: arXiv:1410.3449
783,405700729,PC,,8.351308,11,low SNR
784,440887364,PC,,12.839478999999999,11,may have more than two candidates
785,440887364,PC,,9.465715,11,may have more than two candidates
786,460205581,PC,,28.47536,"10,11",
787,461271719,PC,FP,13.648395,11,could be in phase with the variability; needs closer inspection in the raw light curve; period may be P/2; could also be an EB with a secondary possibly falling in the data gap
788,466840711,KP,KP,7.770461999999999,11,OGLE2-TR-L9b
789,287563610,PC,KP,14.898726000000002,11,likely large planet
790,238932509,PC,,27.263395000000003,11,
791,141768070,PC,,29.915646000000002,11,
792,437333618,KP,KP,32.798256,11,HATS-25b
793,380886535,PC,,11.0,3,could instrumental noise
794,32283946,PC,FP,127.0,3,warm Jupiter; might be too big; period might be double
795,229141709,PC,FP,45.0,3,likely warm Jupiter
796,231289421,PC,,50.0,"2,3",possible warm Jupiter
797,42015200,PC,,48.0,3,possible hot jupiter; a bit V-shaped and there might be odd-even difference
798,33595516,PC,CP,17.0,3,flat-bottomed
799,423670610,PC,FP,72.0,3,possibly 2x period
800,40083958,PC,,12.0,3,short period; nearby companion with dmag 5.6
801,29918916,PC,,17.0,3,
802,138727432,PC,,57.0,3,candidate for warm Jupiter
803,160222069,PC,,11.0,3,likely on 160222071 (dmag 4.2) to NE and still could be a planet; possible odd-even
804,269558487,PC,,14.0,3,intermediate-size planet candidate
805,306338882,PC,FP,12.0,3,hot Jupiter candidate
806,404467699,PC,KP,126.0,3,likely hot Jupiter
807,198008005,PC,,159.0,"3,4,5",may also be on 198008002
808,150430484,PC,,15.0,"1,2,3,4,5,6,7,8,9,10,11,12,13",
809,321011127,PC,,75.0,"3,4",
810,372913430,PC,FP,33.0,"1,4,7,8,9,10,11",TFOP NEB; crowded field
811,309254930,PC,,61.0,"1,5,8,9,10,11",
812,238898571,PC,,7.365399000000001,"5,6",Centroid offset; check brighter neighbor star 238898583; both stars show energy in the difference image but it is inconsistent between the sectors; low SNR
813,231728511,PC,,8.709546000000001,"4,5,6",GAIA radius unknown
814,44797824,PC,,20.682949,"4,5",Candidate 3 is phased with the photometric modulation; may just be variability from detrending
815,381976956,PC,,7.301246000000001,"1,2,3,4,5,6",Could also be around 381976959; needs SG1 to check
816,358460246,PC,,7.115266,"1,2,3,4,5,6",crowded field; needs SG1 to confirm transit is on target.
817,271596418,PC,FP,7.987135,"1,2,3,4,5,6",probably NEB; V-shaped transits and ultra short period; needs SG1 to confirm if on target or neighbor; crowded field; slight centroid offset in difference images
818,200807066,PC,,8.03063,"3,4",Possible single event (second event is on momentum dump); first event could be systematic
819,219229644,PC,,9.465067999999999,"3,4,5",
820,219344917,PC,,8.672198,"4,5,6",SG1 to check neighbors; two transits are near momentum dumps
821,220459826,PC,,10.078978999999999,"4,5,6",SG1 to check neighbors in aperture
822,237920046,PC,,7.571828999999999,"1,2,3,4",needs SG1 to check neighbors
823,232025086,PC,,8.421227,"5,6",Either on 232025086 (Tmag 8.6) or neighbor 232025085 (Tmag 11.33; 6 arcsec away); possible secondary
824,14165625,PC,,7.154832000000001,"5,6",
825,32497972,PC,,8.810804,"5,6",Potentially even HZ
826,255704097,PC,FP,30.0,"6,7,8",check 255704091 and 255704074; This target lies on the blooming spike and there is some centroid funkyness. It could be that the bright neighbour is an EB; blooming into the aperture of this target.
827,219380235,PC,,12.0,"4,5,6",noisy
828,37084932,PC,FP,88.0,6,Clear centroid shift; Need SG1 to check the low parallax target 37161310.
829,34077285,PC,,34.0,6,Need SG1 to Check 34077287 (R = 2.5 Rsun); Period might be twice
